date,S,E,I1,I2,R,beta_pred
2020-07-10,15684423.643144412,9474.490682210184,5271.934857979016,4636.298786765059,4086560.4533602307,0.519614847826926
2020-07-11,15682324.440627445,9148.504512771293,5103.2826431866715,4498.4451903367535,4089292.146971615,0.5220428065286293
2020-07-12,15680309.520434093,8823.357826632784,4934.012492816946,4359.591358253108,4091940.3376570144,0.5240080217946071
2020-07-13,15678376.767800748,8500.711798723585,4764.738929864783,4220.049333431227,4094504.552599315,0.5252279395295959
2020-07-14,15676523.38224367,8182.444248454485,4596.205615893871,4080.2379153329375,4096984.5521469954,0.5255369300697654
2020-07-15,15674745.893090857,7870.586376550114,4429.271554330338,3940.6811137488226,4099380.392877354,0.5252579048761437
2020-07-16,15673040.20384025,7567.24896169266,4264.888247959341,3802.0004105181088,4101692.4876151276,0.5240354304734962
2020-07-17,15671401.652762005,7274.551454175173,4104.0708079129645,3664.9008384790977,4103921.6585457814,0.5215415060930608
2020-07-18,15669825.08344715,6994.558694588402,3947.8666678656023,3530.152155657485,4106069.180059223,0.5182837842681772
2020-07-19,15668304.925864005,6729.222896017313,3797.324241988986,3398.566906991051,4108136.808991228,0.5144976875976695
2020-07-20,15666835.287298294,6480.330366976192,3653.462445011029,3270.9768857465756,4110126.800980372,0.5104851234070666
2020-07-21,15665410.046456195,6249.457938382501,3517.242169062681,3148.209168162714,4112041.9124307996,0.5065636126243602
2020-07-22,15664022.94957935,6037.937312020444,3389.541240773007,3031.06296123375,4113885.388247251,0.5033060632273075
2020-07-23,15662667.708173368,5846.82602444793,3271.1328134671826,2920.2881719405605,4115660.936185469,0.5006020667487592
2020-07-24,15661338.098183222,5676.883447323227,3162.6671961027782,2816.56617458642,4117372.6890829224,0.4981448079807109
2020-07-25,15660028.058321688,5528.553132077036,3064.65656210218,2720.4928730503257,4119025.156419573,0.4960976722677413
2020-07-26,15658731.786074277,5401.950987371657,2977.4629534157375,2632.5641798590227,4120623.166654645,0.49435551109877385
2020-07-27,15657443.833961776,5296.856143820848,2901.288706472697,2553.163888105634,4122171.8018046953,0.4928599922435889
2020-07-28,15656159.200494928,5212.708798512244,2836.1693989188675,2482.5537609292055,4123676.325612699,0.49161743055232143
2020-07-29,15654873.41111849,5148.617245611961,2781.9703015650784,2420.866015379043,4125142.1066423347,0.49089305510444137
2020-07-30,15653582.586678043,5103.374260021819,2738.386758108379,2368.098523015534,4126574.5378524177,0.4905816121417964
2020-07-31,15652283.505188847,5075.475390075187,2704.9481969169274,2324.1129566225577,4127978.9543783795,0.49049339776024714
